x   y   cp calc   cp theor pol   cp theor cart
1.80902   0.587785   0.618207   0.618034   0.654508
1.11803   1.53884   -1.61804   -1.61803   -1.36803
1.11022e-16   1.90211   -3.00024   -3   -2.61803
-1.11803   1.53884   -1.61839   -1.61803   -1.36803
-1.80902   0.587785   0.61783   0.618034   0.654508
-1.80902   -0.587785   0.61854   0.61847   0.654508
-1.11803   -1.53884   -1.61717   -1.61733   -1.36803
-3.33067e-16   -1.90211   -3.00025   -3   -2.61803
1.11803   -1.53884   -1.61917   -1.61874   -1.36803
1.80902   -0.587785   0.617465   0.617598   0.654508
